Source,Target,Decision,Reason,NER_Status,tokens_src,tokens_tgt
"jesus had prayed earnestly before, but on this occasion, faced with the most severe test of his earthly life, he prayed more earnestly and his prayer was answered.","yesus sanaan dura dhimmee kadhachaa kan ture ta'us, yeroo qorumsi cimaan lafarratti isa mudate kanatti ittuma cimsee kadhateera kadhannaansaas deebii argateera.",KEEP,VALID,CONSISTENT,"jesus had prayed earnestly before, but on this occasion, faced with the most severe test of his earthly life, he prayed more earnestly and his prayer was answered.","yesus sanaan dura dhimmee kadhachaa kan ture ta'us, yeroo qorumsi cimaan lafarratti isa mudate kanatti ittuma cimsee kadhateera kadhannaansaas deebii argateera."
"in order to maintain his integrity, he needed to turn to his heavenly father for strength.","yesuus, amanamaa ta'ee itti fufuu akka danda'uuf, abbaan isaa inni samii jabina akka isaaf kennu kadhateera.",KEEP,VALID,CONSISTENT,"in order to maintain his integrity, he needed to turn to his heavenly father for strength.","yesuus, amanamaa ta'ee itti fufuu akka danda'uuf, abbaan isaa inni samii jabina akka isaaf kennu kadhateera."
taking the time to play with your children can help to create such an environment.,warri ijoolleesaanii wajjin kan taphatan taanaan hariiroon gidduusaanii jiru cimaa ta a.,KEEP,VALID,CONSISTENT,taking the time to play with your children can help to create such an environment.,warri ijoolleesaanii wajjin kan taphatan taanaan hariiroon gidduusaanii jiru cimaa ta a.
"that box is more than a review. the questions in that box can be used as an outline for family discussion. be careful, though, not to turn the family study into an interrogation session.","fakkeenyaaf, ijoolleen keessan wanta maatiidhaan qayyabataniifi barumsa sana akkamitti hojiirra oolchuun akka danda amu ilaalchisee, yaadaafi miirasaanii akka barreessan isaan jajjabeessaa.",KEEP,VALID,CONSISTENT,"that box is more than a review. the questions in that box can be used as an outline for family discussion. be careful, though, not to turn the family study into an interrogation session.","fakkeenyaaf, ijoolleen keessan wanta maatiidhaan qayyabataniifi barumsa sana akkamitti hojiirra oolchuun akka danda amu ilaalchisee, yaadaafi miirasaanii akka barreessan isaan jajjabeessaa."
"for instance, all of us should be reasonable and sound in mind.","fakkeenyaaf, hundi keenya tole kan jennuu fi sirriitti kan yaadnu ta'uu qabna.",KEEP,VALID,CONSISTENT,"for instance, all of us should be reasonable and sound in mind.","fakkeenyaaf, hundi keenya tole kan jennuu fi sirriitti kan yaadnu ta'uu qabna."
"sign language has nothing in common with braille, and it is not simply pantomime.","afaan mallattoo bireeyilii wajjin kan wal hin fakkaanne ta uusaarrayyuu, sochiin qaamaas kan godhamu akkasumaan fakkeessuuf miti.",KEEP,VALID,CONSISTENT,"sign language has nothing in common with braille, and it is not simply pantomime.","afaan mallattoo bireeyilii wajjin kan wal hin fakkaanne ta uusaarrayyuu, sochiin qaamaas kan godhamu akkasumaan fakkeessuuf miti."
now back to the chariots.,amma immoo gara konkolaattota sanatti deebina.,KEEP,VALID,CONSISTENT,now back to the chariots.,amma immoo gara konkolaattota sanatti deebina.
"when joshua sent two spies into canaan, rahab the prostitute hid them and misdirected their enemies.","iyaasuun namoonni lama kana'aaniin akka basaasan yommuu erge, rahaab isheen ejjituu turte, namoota sana dhoksuudhaan diinotasaanii kallattii dogoggoraatti ergiteetti.",KEEP,VALID,CONSISTENT,"when joshua sent two spies into canaan, rahab the prostitute hid them and misdirected their enemies.","iyaasuun namoonni lama kana'aaniin akka basaasan yommuu erge, rahaab isheen ejjituu turte, namoota sana dhoksuudhaan diinotasaanii kallattii dogoggoraatti ergiteetti."
"thus, it appears that those who wish to do so will always be able to find excuses for evading their christian responsibility. luke .","kanaaf, namoonni tarkaanfii fudhachuurraa gara duubaatti jedhan, yeroo hundaa itti gaafatamummaa kiristiyaanummaan isaanitti fidu raawwachuurraa duubatti jechuuf sababii waan hin dhabne fakkaatu. luqaas .",KEEP,VALID,CONSISTENT,"thus, it appears that those who wish to do so will always be able to find excuses for evading their christian responsibility. luke .","kanaaf, namoonni tarkaanfii fudhachuurraa gara duubaatti jedhan, yeroo hundaa itti gaafatamummaa kiristiyaanummaan isaanitti fidu raawwachuurraa duubatti jechuuf sababii waan hin dhabne fakkaatu. luqaas ."
"while all these things were taking place in the temple area, something of far greater importance was about to occur, not at the temple, but in an upper room in the city.","wantoonni kun hundi naannoo mana qulqullummaatti raawwatamaa kan turan ta'us, wanti kana caalaa barbaachisaa ta'e tokko mana qulqullummaa keessatti utuu hin ta'in, fooqii magaalaa sana keessa jiru tokko keessatti raawwatamuuf jedha ture.",KEEP,VALID,CONSISTENT,"while all these things were taking place in the temple area, something of far greater importance was about to occur, not at the temple, but in an upper room in the city.","wantoonni kun hundi naannoo mana qulqullummaatti raawwatamaa kan turan ta'us, wanti kana caalaa barbaachisaa ta'e tokko mana qulqullummaa keessatti utuu hin ta'in, fooqii magaalaa sana keessa jiru tokko keessatti raawwatamuuf jedha ture."
"thus, before the birth of jesus, the angel gabriel told jesus mother, mary god will give him the throne of david his father. luke , isaiah , romans .","kanaaf, gabri el ergamaan yesus dhalachuusaa dura maariyaam haadha yesusiin, waaqayyo gooftaanis teessoo abaabilii isaa daawit in kennaaf jedheera. luqaas , isaayaas , roomaa .",KEEP,VALID,CONSISTENT,"thus, before the birth of jesus, the angel gabriel told jesus mother, mary god will give him the throne of david his father. luke , isaiah , romans .","kanaaf, gabri el ergamaan yesus dhalachuusaa dura maariyaam haadha yesusiin, waaqayyo gooftaanis teessoo abaabilii isaa daawit in kennaaf jedheera. luqaas , isaayaas , roomaa ."
do you see the need to train others?,warra kaan leenjisuun barbaachisaa akka ta'e sitti dhaga'amaa?,KEEP,VALID,CONSISTENT,do you see the need to train others?,warra kaan leenjisuun barbaachisaa akka ta'e sitti dhaga'amaa?
"john himself had a heavenly hope but since he was still a man on earth when the elder spoke to him, in the vision john must represent anointed ones on earth who have not yet received their heavenly reward.","haata u malee, yeroo maanguddoon sun dubbatu lafarra jiraachaa waan tureef, mul ata sana keessatti yohannis dibamtoota lafarra jiraniifi jireenya samiirratti isaanii qophaa e yeroo sanatti akka hin arganne kan argisiisu ture.",KEEP,VALID,CONSISTENT,"john himself had a heavenly hope but since he was still a man on earth when the elder spoke to him, in the vision john must represent anointed ones on earth who have not yet received their heavenly reward.","haata u malee, yeroo maanguddoon sun dubbatu lafarra jiraachaa waan tureef, mul ata sana keessatti yohannis dibamtoota lafarra jiraniifi jireenya samiirratti isaanii qophaa e yeroo sanatti akka hin arganne kan argisiisu ture."
"with my parents, going to a convention in wichita in the s",warra koo wajjin walga'ii guddaa wichitaatti bara mman keessa godhame irratti argamuuf utuu deemnuu,KEEP,VALID,CONSISTENT,"with my parents, going to a convention in wichita in the s",warra koo wajjin walga'ii guddaa wichitaatti bara mman keessa godhame irratti argamuuf utuu deemnuu
"married couples hurl biting, cruel, or demeaning remarks at each other and at their children.",abbaan manaafi haati manaa jecha hamminaafi gara jabinaa hiriyaa gaa elaasaaniifi ijoolleesaanii salphisu dubbatu.,KEEP,VALID,CONSISTENT,"married couples hurl biting, cruel, or demeaning remarks at each other and at their children.",abbaan manaafi haati manaa jecha hamminaafi gara jabinaa hiriyaa gaa elaasaaniifi ijoolleesaanii salphisu dubbatu.
"but this would show a lack of faith in jehovah, who had made him king.",akkas gochuunsaa garuu yihowaa isa mootii godhee isa muuderratti amantii akka hin qabne argisiisa.,KEEP,VALID,CONSISTENT,"but this would show a lack of faith in jehovah, who had made him king.",akkas gochuunsaa garuu yihowaa isa mootii godhee isa muuderratti amantii akka hin qabne argisiisa.
we will also learn how a willingness to forgive when we observe injustices in the congregation can reflect jehovah s view of justice.,"akkasumas, gumii keessatti jal'inni haqaa akka raawwatame yoo argine dhiifama gochuuf fedhii qabaachuun keenya, ilaalcha yihowaan haqaaf qabu kan calaqqisiisu akkamitti akka ta'e baranna.",KEEP,VALID,CONSISTENT,we will also learn how a willingness to forgive when we observe injustices in the congregation can reflect jehovah s view of justice.,"akkasumas, gumii keessatti jal'inni haqaa akka raawwatame yoo argine dhiifama gochuuf fedhii qabaachuun keenya, ilaalcha yihowaan haqaaf qabu kan calaqqisiisu akkamitti akka ta'e baranna."
"they displayed a spirit of unity, and they were accompanied by a vast mixed company, non israelites who sided with them.","bau. , , , namoonni israa'eloota hin taane hedduunillee yihowaa tajaajiluudhaaf gibxiidhaa ba'anii turan.",KEEP,VALID,CONSISTENT,"they displayed a spirit of unity, and they were accompanied by a vast mixed company, non israelites who sided with them.","bau. , , , namoonni israa'eloota hin taane hedduunillee yihowaa tajaajiluudhaaf gibxiidhaa ba'anii turan."
jehovah s invitation to draw close to him?,yihowaan akka isatti dhihaannu nu afeeruusaatti,KEEP,VALID,CONSISTENT,jehovah s invitation to draw close to him?,yihowaan akka isatti dhihaannu nu afeeruusaatti
this happened soon after the medes and the persians conquered babylon in b.c.e.,kunimmoo warri medooniifi faares dh.k.d. bara tti baabiloniin erga mo anii booda utuu baay ee hin turin raawwiisaa argateera.,KEEP,VALID,CONSISTENT,this happened soon after the medes and the persians conquered babylon in b.c.e.,kunimmoo warri medooniifi faares dh.k.d. bara tti baabiloniin erga mo anii booda utuu baay ee hin turin raawwiisaa argateera.
"however, as the floodwaters rose, the rebel angels were forced to shed their material bodies and return to the spirit realm, never again to assume fleshly form.","jal inni akkasii babal achuunsaa, ilmaan namootaa uumama yihowaa lafarra jiran hunda caalan, amallisaanii akka manca u waan godheef seexanni akka gammade hin shakkisiisu.",KEEP,VALID,CONSISTENT,"however, as the floodwaters rose, the rebel angels were forced to shed their material bodies and return to the spirit realm, never again to assume fleshly form.","jal inni akkasii babal achuunsaa, ilmaan namootaa uumama yihowaa lafarra jiran hunda caalan, amallisaanii akka manca u waan godheef seexanni akka gammade hin shakkisiisu."
how delighted jehovah will be to reward you for your faithful course! rev.,yihowaan jireenya isin amanamaadhaan jiraattaniif isin eebbisuusaatti baay'ee gammada! mul.,KEEP,VALID,CONSISTENT,how delighted jehovah will be to reward you for your faithful course! rev.,yihowaan jireenya isin amanamaadhaan jiraattaniif isin eebbisuusaatti baay'ee gammada! mul.
"although we are still sinful humans, what a blessing it is to be viewed by god as individuals who can reflect his glory!","ammayyuu utuma cubbuu dhaallee jirruu, dhuunfaatti waaqayyo namoota ulfinasaa calaqqisuu danda'an godhee nu ilaaluunsaa eebba guddaadha.",KEEP,VALID,CONSISTENT,"although we are still sinful humans, what a blessing it is to be viewed by god as individuals who can reflect his glory!","ammayyuu utuma cubbuu dhaallee jirruu, dhuunfaatti waaqayyo namoota ulfinasaa calaqqisuu danda'an godhee nu ilaaluunsaa eebba guddaadha."
we now have fewer problems than when we first got married.,rakkinni amma qabnu rakkina yeroo gaa'ela godhanne qabnurra muraasadha jetteetti.,KEEP,VALID,CONSISTENT,we now have fewer problems than when we first got married.,rakkinni amma qabnu rakkina yeroo gaa'ela godhanne qabnurra muraasadha jetteetti.
how should our trust in jehovah as our potter affect our attitude toward a the people in our territory? b our brothers and sisters?,"yihowaan akka supheetti kan nu tolchu ta'uu isaa irratti amantaan nuti qabnu ilaalcha nuti a namoota naannoo tajaajilaa keenya keessa jiraniif qabnu, b obbolootaa fi obboleettota keenyaaf qabnu, tuquu kan qabu akkamitti?",KEEP,VALID,CONSISTENT,how should our trust in jehovah as our potter affect our attitude toward a the people in our territory? b our brothers and sisters?,"yihowaan akka supheetti kan nu tolchu ta'uu isaa irratti amantaan nuti qabnu ilaalcha nuti a namoota naannoo tajaajilaa keenya keessa jiraniif qabnu, b obbolootaa fi obboleettota keenyaaf qabnu, tuquu kan qabu akkamitti?"
"as a result, you have the privilege of being among the only people in the world who can rightly be called a free people. jas.","kanaan kan ka'es, namoota biyya lafaarra jiran keessaa warra dhugumaan namoota birmaduu ta'anii wajjin tokko ta'uuf mirga argatteetta. yaq.",KEEP,VALID,CONSISTENT,"as a result, you have the privilege of being among the only people in the world who can rightly be called a free people. jas.","kanaan kan ka'es, namoota biyya lafaarra jiran keessaa warra dhugumaan namoota birmaduu ta'anii wajjin tokko ta'uuf mirga argatteetta. yaq."
"they left their wives and their offspring behind to die in the floodwaters, along with that society of humans.","haata u malee, bishaanichi yommuu ol ka aa deemu ergamoonni hamoon sun qaama foonii dhiisanii qaama hafuuraa uffachuudhaan baqachuuf kan dirqaman ennaa ta u, sana booda qaama foonii uffachuu hin dandeenye.",KEEP,VALID,CONSISTENT,"they left their wives and their offspring behind to die in the floodwaters, along with that society of humans.","haata u malee, bishaanichi yommuu ol ka aa deemu ergamoonni hamoon sun qaama foonii dhiisanii qaama hafuuraa uffachuudhaan baqachuuf kan dirqaman ennaa ta u, sana booda qaama foonii uffachuu hin dandeenye."
"while glorious ones, that is, christian elders, have faults and may err at times, we must not speak abusively of them. heb.","warra ulfina qaban jedhaman, jechuunis jaarsoliin gumii kiristiyaanaa hir ina kan qabaniifi al tokko tokko kan dogoggoran ta anis isaan arrabsuu hin qabnu. ibr.",KEEP,VALID,CONSISTENT,"while glorious ones, that is, christian elders, have faults and may err at times, we must not speak abusively of them. heb.","warra ulfina qaban jedhaman, jechuunis jaarsoliin gumii kiristiyaanaa hir ina kan qabaniifi al tokko tokko kan dogoggoran ta anis isaan arrabsuu hin qabnu. ibr."
others slept in kingdom halls.,"kaan immoo, galma walga'ii keessa bulu.",KEEP,VALID,CONSISTENT,others slept in kingdom halls.,"kaan immoo, galma walga'ii keessa bulu."
he at times experienced hunger and thirst. cor.,phaawulos yeroo itti beela'eefi dheebote qaba ture. qor.,KEEP,VALID,CONSISTENT,he at times experienced hunger and thirst. cor.,phaawulos yeroo itti beela'eefi dheebote qaba ture. qor.
do this not only when preparing for christian meetings or during family worship but at any time.,walga'iidhaaf yommuu qophooftan ykn yommuu waaqeffannaa maatii gootan qofa utuu hin ta'in yeroo hunda akkas godhaa.,KEEP,VALID,CONSISTENT,do this not only when preparing for christian meetings or during family worship but at any time.,walga'iidhaaf yommuu qophooftan ykn yommuu waaqeffannaa maatii gootan qofa utuu hin ta'in yeroo hunda akkas godhaa.
"even under the most extreme tests, jesus never sinned nor broke any of god s laws.","yesuus, qorumsa baay'ee guddaa keessatti illee, matumaa cubbuu hin hojjenne akkasumas seera waaqayyoo kam iyyuu hin cabsine.",KEEP,VALID,CONSISTENT,"even under the most extreme tests, jesus never sinned nor broke any of god s laws.","yesuus, qorumsa baay'ee guddaa keessatti illee, matumaa cubbuu hin hojjenne akkasumas seera waaqayyoo kam iyyuu hin cabsine."
why is it important to prepare for disasters?,yeroo balaan ga'uuf qophaa'uun barbaachisaa kan ta'e maaliifi?,KEEP,VALID,CONSISTENT,why is it important to prepare for disasters?,yeroo balaan ga'uuf qophaa'uun barbaachisaa kan ta'e maaliifi?
", . a how did andrew and philip respond upon meeting jesus?",", . a indriiyaasiifi filiphos yesusiin yeroo argan maal godhan?",KEEP,VALID,CONSISTENT,", . a how did andrew and philip respond upon meeting jesus?",", . a indriiyaasiifi filiphos yesusiin yeroo argan maal godhan?"
"in that way, you follow the pattern that jehovah set for the israelites, who were commanded congregate the people, the men and the women and the little ones..., in order that they may listen and in order that they may learn, as they must fear jehovah your god and take care to carry out all the words of this law.","karaa kanaan ajaja yihowaan akkas jechuudhaan israa'elootaaf kenne hordoftu jechuudha yommus saba sana, dhiirotaa fi dubartoota, ijoollotas..., waaqayyo gooftaa keessaniif dhaga'uu fi isa sodaachuu akka baranii fi dubbii abboommii isaa kana hundumaas gaarii godhanii akka eeganiif walitti sassaabaa!",KEEP,VALID,CONSISTENT,"in that way, you follow the pattern that jehovah set for the israelites, who were commanded congregate the people, the men and the women and the little ones..., in order that they may listen and in order that they may learn, as they must fear jehovah your god and take care to carry out all the words of this law.","karaa kanaan ajaja yihowaan akkas jechuudhaan israa'elootaaf kenne hordoftu jechuudha yommus saba sana, dhiirotaa fi dubartoota, ijoollotas..., waaqayyo gooftaa keessaniif dhaga'uu fi isa sodaachuu akka baranii fi dubbii abboommii isaa kana hundumaas gaarii godhanii akka eeganiif walitti sassaabaa!"
"god s word answers sow your seed in the morning and do not let your hand rest until the evening for you do not know which will have success, whether this one or that one, or whether they will both do well.","macaafni qulqulluun deebii akkas jedhu kenna waan ati facaafte keessaa inni kam akka tolu waan hin beekneef, sanyii midhaanii kee ganama facaasi, galgalas harki kee facaasuuttii hin boqotin! inni kun yookiis inni sun yookiis immoo lachanuu in tolu ta'a. lal.",KEEP,VALID,CONSISTENT,"god s word answers sow your seed in the morning and do not let your hand rest until the evening for you do not know which will have success, whether this one or that one, or whether they will both do well.","macaafni qulqulluun deebii akkas jedhu kenna waan ati facaafte keessaa inni kam akka tolu waan hin beekneef, sanyii midhaanii kee ganama facaasi, galgalas harki kee facaasuuttii hin boqotin! inni kun yookiis inni sun yookiis immoo lachanuu in tolu ta'a. lal."
"while jehovah s spirit is invisible, what it produces in those upon whom it operates is not.","hafuurri yihowaa ijatti kan hin mul anne ta uyyuu, wanti inni raawwatu garuu ni mul ata.",KEEP,VALID,CONSISTENT,"while jehovah s spirit is invisible, what it produces in those upon whom it operates is not.","hafuurri yihowaa ijatti kan hin mul anne ta uyyuu, wanti inni raawwatu garuu ni mul ata."
will he really find this faith on the earth?,ilmi namaa yommuu dhufu amantii akkasii lafa irratti argata laataa?,KEEP,VALID,CONSISTENT,will he really find this faith on the earth?,ilmi namaa yommuu dhufu amantii akkasii lafa irratti argata laataa?
"of course, sandra came to recognize that her initial reaction was wrong.",saandiraan jalqabarratti ruutiin ilaalchisee wanti isheen yaadee turte dogoggora ta uusaa hubatteetti.,KEEP,VALID,CONSISTENT,"of course, sandra came to recognize that her initial reaction was wrong.",saandiraan jalqabarratti ruutiin ilaalchisee wanti isheen yaadee turte dogoggora ta uusaa hubatteetti.
"some languages are spoken in the country, but well over ten million speak nepali and many others use it as a second tongue.","biyyattii keessatti afaanonni ta'an kan dubbataman ta'us, namoonni miliyoona kudhanii ol ta'an neeppaalii kan dubbatan si'a ta'u, warri kaanimmoo akka afaan lammaffaatti itti fayyadamu.",KEEP,VALID,CONSISTENT,"some languages are spoken in the country, but well over ten million speak nepali and many others use it as a second tongue.","biyyattii keessatti afaanonni ta'an kan dubbataman ta'us, namoonni miliyoona kudhanii ol ta'an neeppaalii kan dubbatan si'a ta'u, warri kaanimmoo akka afaan lammaffaatti itti fayyadamu."
such matters are not bad in themselves they can be normal aspects of life.,wantoonni kun mataa isaaniitti dogoggora miti sochiiwwan jireenya keenya keessatti irratti hirmaannu ta'uu danda'u.,KEEP,VALID,CONSISTENT,such matters are not bad in themselves they can be normal aspects of life.,wantoonni kun mataa isaaniitti dogoggora miti sochiiwwan jireenya keenya keessatti irratti hirmaannu ta'uu danda'u.
"timothy learned well and had won paul s affection, and paul was confident that timothy could care for the spiritual needs of those in corinth.",ximotewos akka gaariitti kan barate ta'uu isaa irra iyyuu phaawulos duratti guddaa jaallatamaa ta'eera phaawulosis wanta karaa hafuuraa warra qorontos keessa jiran barbaachisu guutuu akka danda'u ximotewos irratti amanannaa qaba ture.,KEEP,VALID,CONSISTENT,"timothy learned well and had won paul s affection, and paul was confident that timothy could care for the spiritual needs of those in corinth.",ximotewos akka gaariitti kan barate ta'uu isaa irra iyyuu phaawulos duratti guddaa jaallatamaa ta'eera phaawulosis wanta karaa hafuuraa warra qorontos keessa jiran barbaachisu guutuu akka danda'u ximotewos irratti amanannaa qaba ture.
he committed adultery with bath sheba.,baat sheebaa wajjin ejja raawwatee ture.,KEEP,VALID,CONSISTENT,he committed adultery with bath sheba.,baat sheebaa wajjin ejja raawwatee ture.
later those same crowds wanted to kill paul and barnabas.,xinnuma turanii namootumti kun phaawulosiifi baarnaabaasin ajjeesuu barbaadan.,KEEP,VALID,CONSISTENT,later those same crowds wanted to kill paul and barnabas.,xinnuma turanii namootumti kun phaawulosiifi baarnaabaasin ajjeesuu barbaadan.
what kind of model did jesus leave for his disciples?,yesus bartootasaatiif fakkeenya akkamii ture?,KEEP,VALID,CONSISTENT,what kind of model did jesus leave for his disciples?,yesus bartootasaatiif fakkeenya akkamii ture?
let us consider three key factors that will help us to do so.,karaawwan gurguddaa kana gochuuf nu gargaaran sadii haa ilaallu.,KEEP,VALID,CONSISTENT,let us consider three key factors that will help us to do so.,karaawwan gurguddaa kana gochuuf nu gargaaran sadii haa ilaallu.
"why are children especially vulnerable to pornography, and what may result from their viewing it?",keessumaa ijoolleen fakkiiwwan fedhii saalqunnamtii kakaasaniin miidhamuu kan danda'an maaliifi? ilaaluunsaaniihoo miidhaa maalii isaanirra geessisuu danda'a?,KEEP,VALID,CONSISTENT,"why are children especially vulnerable to pornography, and what may result from their viewing it?",keessumaa ijoolleen fakkiiwwan fedhii saalqunnamtii kakaasaniin miidhamuu kan danda'an maaliifi? ilaaluunsaaniihoo miidhaa maalii isaanirra geessisuu danda'a?
"when the prophet daniel was thrown into a pit of lions, god sent his angel and shut the mouth of the lions. daniel .","ba'uu , daani'el raajichi boolla leencotaatti darbatamee yeroo turetti, waaqayyo ergamaa isaa ergee afaan leencotaa cufsiiseera. daani'el .",KEEP,VALID,CONSISTENT,"when the prophet daniel was thrown into a pit of lions, god sent his angel and shut the mouth of the lions. daniel .","ba'uu , daani'el raajichi boolla leencotaatti darbatamee yeroo turetti, waaqayyo ergamaa isaa ergee afaan leencotaa cufsiiseera. daani'el ."
"in its larger fulfillment, this restoration prophecy applies to the israel of god.","raajiin iddootti deebi'uu ilaalchisee dubbatame kun raawwii isaa isa guddaa kan argatu, israa'el waaqayyoo irratti dha.",KEEP,VALID,CONSISTENT,"in its larger fulfillment, this restoration prophecy applies to the israel of god.","raajiin iddootti deebi'uu ilaalchisee dubbatame kun raawwii isaa isa guddaa kan argatu, israa'el waaqayyoo irratti dha."
"still, the issue has not been resolved, and they both feel uncomfortable.","haata'u malee, rakkinnisaanii furmaata waan hin arganneef lamaansaaniiyyuu gammachuu hin qaban.",KEEP,VALID,CONSISTENT,"still, the issue has not been resolved, and they both feel uncomfortable.","haata'u malee, rakkinnisaanii furmaata waan hin arganneef lamaansaaniiyyuu gammachuu hin qaban."
"confident that god heard his entreaties, the psalmist david sang o hearer of prayer, even to you people of all flesh will come.","daawit faarfatichi waaqayyo kadhannaasaa akka dhaga u mirkanaa aa ta uudhaan, yaa isa kadhata namaa dhageessuu!",KEEP,VALID,CONSISTENT,"confident that god heard his entreaties, the psalmist david sang o hearer of prayer, even to you people of all flesh will come.","daawit faarfatichi waaqayyo kadhannaasaa akka dhaga u mirkanaa aa ta uudhaan, yaa isa kadhata namaa dhageessuu!"
"how did jesus disciples benefit from the pax romana, or roman peace?",paaksi roomaanaan ykn nagaan roomaa bartoota yesus kan fayyade akkamitti?,KEEP,VALID,CONSISTENT,"how did jesus disciples benefit from the pax romana, or roman peace?",paaksi roomaanaan ykn nagaan roomaa bartoota yesus kan fayyade akkamitti?
why were the elders involved?,jaarsoliin kun dhimma kana ilaalu irratti kan hirmaatan maaliifi?,KEEP,VALID,CONSISTENT,why were the elders involved?,jaarsoliin kun dhimma kana ilaalu irratti kan hirmaatan maaliifi?
"on the other hand, many employees claim to be working when they are actually attending to personal matters, though that is contrary to company rules.","karaa biraatiinimmoo, namoonni hedduun seera dhaabbata keessaa hojjetanii wajjin kan wal faalleessu ta us, sa aatii hojiitti hojii dhuunfaasaanii hojjetu.",KEEP,VALID,CONSISTENT,"on the other hand, many employees claim to be working when they are actually attending to personal matters, though that is contrary to company rules.","karaa biraatiinimmoo, namoonni hedduun seera dhaabbata keessaa hojjetanii wajjin kan wal faalleessu ta us, sa aatii hojiitti hojii dhuunfaasaanii hojjetu."
"this bible, produced by jehovah s witnesses, is available in over languages.",kitaabni qulqulluun dhugaa baatonni yihowaa qopheessan kun afaanota oliin ni argama.,KEEP,VALID,CONSISTENT,"this bible, produced by jehovah s witnesses, is available in over languages.",kitaabni qulqulluun dhugaa baatonni yihowaa qopheessan kun afaanota oliin ni argama.
what might we do if having little time and energy limits our accepting or extending hospitality?,sababiiwwan hedduun jiraachuu danda'u. keessummoota simachuuf yeroo fi humna hin qabnu yoo ta'e maal gochuu dandeenya?,KEEP,VALID,CONSISTENT,what might we do if having little time and energy limits our accepting or extending hospitality?,sababiiwwan hedduun jiraachuu danda'u. keessummoota simachuuf yeroo fi humna hin qabnu yoo ta'e maal gochuu dandeenya?
"for others, it may be the challenge of standing out as different, perhaps at school or in the workplace.","warri kaan immoo, tarii mana barumsaatti ykn bakka hojiitti warra kaan irraa adda ta'anii mul'achuun isaanitti ulfaachuu danda'a. bau.",KEEP,VALID,CONSISTENT,"for others, it may be the challenge of standing out as different, perhaps at school or in the workplace.","warri kaan immoo, tarii mana barumsaatti ykn bakka hojiitti warra kaan irraa adda ta'anii mul'achuun isaanitti ulfaachuu danda'a. bau."
"further, he has unlimited ability to control the outcome of events.","kana malees, humna daangaa hin qabneefi wanta gara fuulduraatti ta u to achuuf isa dandeessisu qaba.",KEEP,VALID,CONSISTENT,"further, he has unlimited ability to control the outcome of events.","kana malees, humna daangaa hin qabneefi wanta gara fuulduraatti ta u to achuuf isa dandeessisu qaba."
"through god s word and his spirit directed organization, holy spirit will move you in the right direction.","hafuurri qulqulluun, karaa dubbii waaqayyoofi jaarmiyaasaa isa hafuuraan geggeeffamuu kallattii sirrii ta een si qajeelcha.",KEEP,VALID,CONSISTENT,"through god s word and his spirit directed organization, holy spirit will move you in the right direction.","hafuurri qulqulluun, karaa dubbii waaqayyoofi jaarmiyaasaa isa hafuuraan geggeeffamuu kallattii sirrii ta een si qajeelcha."
"but he will make you wise if you earnestly study his word, pray for holy spirit, and take full advantage of the spiritual provisions made available through the christian congregation.","haata'u malee, dubbiisaa dhimmitee yoo qayyabatte, hafuura qulqulluu argachuuf yoo kadhatteefi qophii hafuuraa inni karaa gumii kiristiyaanaa dhiheessurraa guutummaatti yoo fayyadamte ogeessa akka taatu si godha.",KEEP,VALID,CONSISTENT,"but he will make you wise if you earnestly study his word, pray for holy spirit, and take full advantage of the spiritual provisions made available through the christian congregation.","haata'u malee, dubbiisaa dhimmitee yoo qayyabatte, hafuura qulqulluu argachuuf yoo kadhatteefi qophii hafuuraa inni karaa gumii kiristiyaanaa dhiheessurraa guutummaatti yoo fayyadamte ogeessa akka taatu si godha."
gathering together has always been a key activity for jehovah s servants.,sochii tajaajiltoonni yihowaa godhan keessaa walga'iirratti argamuun yeroo hunda iddoo guddaa kan qabudha.,KEEP,VALID,CONSISTENT,gathering together has always been a key activity for jehovah s servants.,sochii tajaajiltoonni yihowaa godhan keessaa walga'iirratti argamuun yeroo hunda iddoo guddaa kan qabudha.
we need to safeguard our spirituality.,jireenya hafuuraa keenya eeggachuun nu barbaachisa.,KEEP,VALID,CONSISTENT,we need to safeguard our spirituality.,jireenya hafuuraa keenya eeggachuun nu barbaachisa.
"however, they miss out on the benefits they could derive from studying the bible.","kanaan kan ka'es, faayidaa macaafa qulqulluu dubbisuudhaan argamuu danda'u utuu hin argatin hafu.",KEEP,VALID,CONSISTENT,"however, they miss out on the benefits they could derive from studying the bible.","kanaan kan ka'es, faayidaa macaafa qulqulluu dubbisuudhaan argamuu danda'u utuu hin argatin hafu."
many of those kingdoms warred against one another for centuries.,mootummoota sana keessaa baay'eensaanii jaarraawwan hedduudhaaf wal waraananiiru.,KEEP,VALID,CONSISTENT,many of those kingdoms warred against one another for centuries.,mootummoota sana keessaa baay'eensaanii jaarraawwan hedduudhaaf wal waraananiiru.
"thanks to jehovah, i am happy to belong to a united family.","yihowaaf galatni haa ta'uutii, maatii tokkummaa qabu keessa jiraachuu kootti gammachuutu natti dhaga'ama.",KEEP,VALID,CONSISTENT,"thanks to jehovah, i am happy to belong to a united family.","yihowaaf galatni haa ta'uutii, maatii tokkummaa qabu keessa jiraachuu kootti gammachuutu natti dhaga'ama."
